quantidade_de_alunos,nome_do_curso
562,Lógica de programação
665,Java para Web
171,C# para Web
552,Ruby on Rails
752,Cursos de Python
224,PHP com MySql
595,.NET para web
650,Novas integrações com Java
412,TDD com Java
285,Código limpo com C#
841,Preparatório para certificação Java
222,Hardware básico
208,Persistência com .NET
345,Desenvolvendo jogos
91,Análise de dados
297,Estatística básica
304,Internet das coisas
143,Programação funcional
343,Boas práticas em Java
605,Orientação objetos com Java
